PHYLUM,CLASS,ORDER,SPECIES,LTNZ,UTNZ,,REF,,,
Chordata,Mammalia,Carnivora,Martes foina,,,,,,,
Chordata,Mammalia,Rodentia,Sciurus vulgaris,,,,,,,
Chordata,Mammalia,Artiodactyla,Capreolus capreolus,,,,,,,
Chordata,Mammalia,Carnivora,Mustela erminea,,,,,,,
Chordata,Mammalia,Artiodactyla,Rupicapra rupicapra,,,,,,,
Chordata,Mammalia,Lagomorpha,Lepus europaeus,,,,,,,
Chordata,Mammalia,Rodentia,Marmota marmota,,,,,,,
Chordata,Mammalia,Eulipotyphla,Erinaceus europaeus,26,NA,,GlobTherm,,,
Chordata,Mammalia,Carnivora,Vulpes vulpes,-10,30,,Khaliq et al. (2014),,1,
Chordata,Mammalia,Carnivora,Meles meles,,,,,,,
Chordata,Mammalia,Rodentia,Rattus norvegicus,,,,,,,
Chordata,Mammalia,Rodentia,Apodemus sylvaticus,,,,,,,
Chordata,Mammalia,Artiodactyla,Sus scrofa,4,22,,Khaliq et al. (2014),,,
Chordata,Mammalia,Carnivora,Lynx lynx,,,,,,,
Chordata,Mammalia,Rodentia,Castor fiber,,,,,,,
Chordata,Mammalia,Carnivora,Felis silvestris,,,,,,,
Chordata,Mammalia,Lagomorpha,Lepus timidus,,,,,,,
Chordata,Mammalia,Artiodactyla,Cervus elaphus,,,,,,,
Chordata,Mammalia,Artiodactyla,Capra ibex,,,,,,,
Chordata,Mammalia,Rodentia,Apodemus flavicollis,,,,,,,
Chordata,Mammalia,Eulipotyphla,Talpa europaea,,,,,,,
Chordata,Mammalia,Eulipotyphla,Crocidura russula,27.5,35,,"Khaliq et al. (2014), GlobTherm",,,
Chordata,Mammalia,Rodentia,Myodes glareolus,,,,,,,
Chordata,Mammalia,Rodentia,Mus domesticus,,,,,,,
Chordata,Mammalia,Rodentia,Myocastor coypus,,,,,,,
Chordata,Mammalia,Rodentia,Microtus subterraneus,,,,,,,
Chordata,Mammalia,Carnivora,Mustela putorius,,,,,,,
Chordata,Mammalia,Carnivora,Mustela nivalis,,,,,,,
Chordata,Mammalia,Carnivora,Lutra lutra,,,,,,,
Chordata,Mammalia,Carnivora,Martes martes,,,,,,,
Chordata,Mammalia,Eulipotyphla,Sorex araneus,,,,,,,
Chordata,Mammalia,Chiroptera,Pipistrellus pipistrellus,,,,,,,
Chordata,Mammalia,Chiroptera,Tadarida teniotis,,,,,,,
Chordata,Mammalia,Chiroptera,Myotis myotis,,,,,,,
Chordata,Mammalia,Chiroptera,Myotis blythii,,,,,,,
Chordata,Mammalia,Chiroptera,Rhinolophus hipposideros,,,,,,,
Chordata,Mammalia,Chiroptera,Barbastella barbastellus,,,,,,,
Chordata,Mammalia,Chiroptera,Plecotus auritus,,,,,,,
Chordata,Mammalia,Chiroptera,Pipistrellus kuhlii,,,,,,,
Chordata,Mammalia,Chiroptera,Myotis alcathoe,,,,,,,
Chordata,Mammalia,Chiroptera,Myotis daubentonii,,,,,,,
Chordata,Mammalia,Chiroptera,Pipistrellus nathusii,,,,,,,
Chordata,Mammalia,Chiroptera,Eptesicus serotinus,,,,,,,
Chordata,Mammalia,Chiroptera,Nyctalus noctula,,,,,,,
Chordata,Mammalia,Chiroptera,Pipistrellus pygmaeus,,,,,,,
Chordata,Mammalia,Chiroptera,Myotis mystacinus,,,,,,,
Chordata,Mammalia,Chiroptera,Eptesicus nilssonii,,,,,,,
Chordata,Mammalia,Chiroptera,Pipistrellus sp.,,,,,,,
Chordata,Mammalia,Chiroptera,Myotis nattereri,,,,,,,
Chordata,Mammalia,Chiroptera,Myotis bechsteinii,,,,,,,
Chordata,Mammalia,Chiroptera,Plecotus sp.,,,,,,,
Chordata,Mammalia,Chiroptera,Hypsugo savii,,,,,,,
Chordata,Mammalia,Chiroptera,Rhinolophus ferrumequinum,,,,,,,
Chordata,Mammalia,Chiroptera,Vespertilionidae sp.,,,,,,,
Chordata,Mammalia,Chiroptera,Vespertilio murinus,,,,,,,
Chordata,Mammalia,Chiroptera,Nyctalus leisleri,,,,,,,
Chordata,Mammalia,Chiroptera,Plecotus macrobullaris,,,,,,,
Chordata,Mammalia,Chiroptera,Myotis brandtii,,,,,,,
Chordata,Mammalia,Chiroptera,Plecotus austriacus,,,,,,,
Chordata,Mammalia,Chiroptera,Myotis sp.,,,,,,,
Chordata,Mammalia,Chiroptera,Myotis emarginatus,,,,,,,
Chordata,Mammalia,Chiroptera,Nyctalus sp.,,,,,,,
Chordata,Mammalia,Chiroptera,Eptesicus sp.,,,,,,,
Chordata,Mammalia,Rodentia,Micromys minutus,,,,,,,
Chordata,Mammalia,Eulipotyphla,Sorex antinorii,,,,,,,
Chordata,Mammalia,Rodentia,Glis glis,,,,,,,
Chordata,Mammalia,Rodentia,Ondatra zibethicus,15,30,,"Khaliq et al. (2014), GlobTHerm",,,1
Chordata,Mammalia,Rodentia,Microtus arvalis,20,30,,Khaliq et al. (2014),,,
Chordata,Mammalia,Rodentia,Arvicola amphibius,,,,,,,
Chordata,Mammalia,Artiodactyla,Ovis gmelini,,,,,,,
Chordata,Mammalia,Rodentia,Muscardinus avellanarius,,,,,,,
Chordata,Mammalia,Eulipotyphla,Sorex alpinus,25,NA,,GlobTherm,,,
Chordata,Mammalia,Carnivora,Procyon lotor,,,,,,,
Chordata,Mammalia,Carnivora,Ursus arctos,,,,,,,
Chordata,Mammalia,Eulipotyphla,Neomys fodiens,25,30,,"Khaliq et al. (2014), GlobTherm",,,
Chordata,Mammalia,Eulipotyphla,Sorex minutus,24,30,,Khaliq et al. (2014),,,
Chordata,Mammalia,Rodentia,Eliomys quercinus,,,,,,,
Chordata,Mammalia,Rodentia,Chionomys nivalis,,,,,,,
Chordata,Mammalia,Eulipotyphla,Neomys anomalus,25,30,,"Khaliq et al. (2014), GlobTherm",,,
Chordata,Mammalia,Eulipotyphla,Crocidura leucodon,,,,,,,
Chordata,Mammalia,Rodentia,Apodemus alpicola,,,,,,,
Chordata,Mammalia,Rodentia,Microtus multiplex,,,,,,,
Chordata,Mammalia,Rodentia,Tamias sibiricus,,,,,,,
Chordata,Mammalia,Eulipotyphla,Talpa caeca,,,,,,,
Chordata,Mammalia,Chiroptera,Miniopterus schreibersii,32.5,37.5,,"Khaliq et al. (2014), GlobTherm",,,
Chordata,Mammalia,Eulipotyphla,Crocidura suaveolens,27.5,35,,"Khaliq et al. (2014), GlobTherm",,,
Chordata,Mammalia,Rodentia,Arvicola italicus,,,,,,,
Chordata,Mammalia,Lagomorpha,Oryctolagus cuniculus,,,,,,,
Chordata,Mammalia,Eulipotyphla,Sorex coronatus,,,,,,,
Chordata,Mammalia,Carnivora,Canis lupus,10,32.5,,Khaliq et al. (2014),,1,
Chordata,Mammalia,Artiodactyla,Cervus nippon,,,,,,,
Chordata,Mammalia,Chiroptera,Myotis crypticus,,,,,,,
Chordata,Mammalia,Chiroptera,Nyctalus lasiopterus,,,,,,,
Chordata,Mammalia,Carnivora,Nyctereutes procyonoides,,,,,,,
Chordata,Mammalia,Rodentia,Rattus rattus,26.25,33,,GlobTherm,,,
Chordata,Mammalia,Chiroptera,Rhinolophus sp.,,,,,,,
Chordata,Mammalia,Carnivora,Canis aureus,,,,,,,
Chordata,Mammalia,Rodentia,Microtus agrestis,,,,,,,
Chordata,Mammalia,Rodentia,Microtus lavernedii,,,,,,,
Chordata,Mammalia,Rodentia,Dryomys nitedula,,,,,,,
Chordata,Mammalia,Artiodactyla,Dama dama,,,,,,,
Chordata,Mammalia,Chiroptera,Myotis capaccinii,,,,,,,
Chordata,Mammalia,Lagomorpha,Sylvilagus floridanus,,,,,,,
Chordata,Mammalia,Rodentia,Microtus savii,,,,,,,
Chordata,Mammalia,Rodentia,Callosciurus erythraeus,,,,,,,
Chordata,Mammalia,Eulipotyphla,Suncus etruscus,,,,,,,
