station_n,year,dem,slope,X,Y,BAFU_T,GEE_LST,GEE_BT
2016,2014,349.640625,16.28079081,657000,259360,17.92271739,15.45,16.19
2018,2014,351.4067612,10.18629181,662830,252580,18.2901087,20.25,21.05
2029,2014,430.8748856,10.29724681,588220,219020,18.0226087,20.72,21.39
2030,2014,555.513092,1.280728996,613230,179280,15.77673913,16,15.11
2044,2014,362.7888336,20.25517917,693510,272500,16.2775,19.81,20.61
2085,2014,454.804863,4.829624772,580680,211650,16.7948913,16.8,16.79
2113,2014,312.7232361,0.729323823,659150,271790,18.92858696,16.77,15.92
2135,2014,526.5018463,11.55748844,600710,198000,15.94880435,18.83,19.57
2308,2014,402.4970703,5.598330498,753190,261590,14.89282609,18.68,19.41
2392,2014,364.5569839,16.47093701,687420,277140,18.91130435,17.43,18.43
2457,2014,564.9746399,4.527424872,633730,171510,14.25630435,15.73,15.65
2606,2014,375.0815353,3.286010385,499890,117850,18.90336957,23.25,21.81
