station_n,year,dem,slope,X,Y,BAFU_T,GEE_BT
2009,2014,378.8598099,1.336694151,557660,133280,10.2851087,
2016,2014,349.640625,16.28079081,657000,259360,17.92271739,
2018,2014,351.4067612,10.18629181,662830,252580,18.2901087,
2019,2014,642.0447845,18.2331841,649930,177380,8.767065217,13.15
2029,2014,430.8748856,10.29724681,588220,219020,18.0226087,15.5
2030,2014,555.513092,1.280728996,613230,179280,15.77673913,12.37
2034,2014,446.3568649,1.158309787,561660,187320,16.50858696,
2044,2014,362.7888336,20.25517917,693510,272500,16.2775,
2056,2014,439.687439,3.716259181,690085,193210,10.25108696,16.21
2068,2014,199.4127998,6.790184438,713670,113500,12.54684783,18.82
2070,2014,655.931488,12.32885665,623610,200420,13.25217391,
2084,2014,436.577301,4.465672374,688230,206140,10.08326087,17.18
2085,2014,454.804863,4.829624772,580680,211650,16.7948913,16.12
2104,2014,423.6244125,4.372515918,725160,221380,16.20228261,15.05
2106,2014,270.3440018,11.48338723,613570,263080,14.58173913,
2109,2014,586.2529144,2.547191322,633130,168200,8.263369565,11.7
2112,2014,778.4498749,7.141720295,749040,244220,11.51913043,
2113,2014,312.7232361,0.729323823,659150,271790,18.92858696,15.92
2126,2014,484.3849716,3.391072392,714105,261720,15.06391304,
2135,2014,526.5018463,11.55748844,600710,198000,15.94880435,19.63
2150,2014,616.700882,38.62027168,765365,204910,10.95108696,
2152,2014,458.8961411,15.55527496,665330,211800,18.40326087,16.83
2159,2014,528.7577972,5.572603941,604810,192680,14.605,
2161,2014,1582.285156,39.72941017,643700,137290,1.115108696,7.85
2179,2014,557.7329102,1.964745253,593350,193020,14.4426087,
2181,2014,473.6756821,11.04601264,733560,263180,15.0851087,
2210,2014,420.7701797,2.416887105,572530,244460,14.19119565,
2243,2014,384.0382538,4.011407793,665640,258690,19.48358696,
2256,2014,1811.763763,5.039147437,788810,151690,6.789130435,
2269,2014,1547.556885,28.85110998,629130,140910,6.459021739,
2276,2014,785.766983,19.35230756,685500,196050,9.132282609,
2307,2014,658.1270447,12.04985881,579810,227350,10.36326087,
2308,2014,402.4970703,5.598330498,753190,261590,14.89282609,18.58
2327,2014,1679.923035,25.70551157,786220,183370,7.223478261,
2343,2014,609.7101593,3.326797634,629560,219135,13.56673913,
2351,2014,653.4367371,5.52850163,634050,125900,8.859891304,
2366,2014,1920.83783,30.23648214,802120,142010,6.374130435,
2369,2014,449.2958908,1.618427098,545440,180875,15.11836957,12.98
2372,2014,438.4101562,11.39096177,723985,217965,10.62521739,
2374,2014,603.7553406,9.670219541,727110,247290,13.50554348,
2386,2014,393.8882751,1.87167275,709540,269660,15.90184783,
2392,2014,364.5569839,16.47093701,687420,277140,18.91130435,17.78
2410,2014,432.853302,2.774992257,757750,234590,11.92032609,
2414,2014,697.115387,37.07326317,718840,248440,13.59543478,
2415,2014,358.6180191,3.667993605,678040,269720,19.09880435,
2432,2014,383.8851395,10.22030997,532040,154160,15.62521739,15.53
2433,2014,417.7447891,1.962863415,520720,147410,10.41847826,16.44
2457,2014,564.9746399,4.527424872,633730,171510,14.25630435,13.4
2462,2014,1653.193207,11.43626881,795800,165910,8.356086957,
2467,2014,473.7758789,1.227455884,585100,199240,14.69826087,
2473,2014,409.9334793,2.939974681,766280,250360,11.90793478,
2481,2014,440.835556,0.882052422,673555,202870,9.472065217,17.56
2485,2014,367.7259903,1.764549121,567830,261200,14.15554348,
2493,2014,401.1378479,5.679762125,510080,140080,12.09793478,17.45
2500,2014,521.2162628,5.844698131,603005,202455,14.02380435,
2604,2014,855.8721008,3.951673269,697240,223280,13.23956522,
2606,2014,375.0815353,3.286010385,499890,117850,18.90336957,18.01
2608,2014,519.1930389,4.87648803,658530,218290,15.29391304,16.03
2612,2014,549.5258179,14.71074915,708060,123950,13.43402174,
2617,2014,1253.153839,9.062453508,830800,168700,8.4275,
2623,2014,1370.512817,1.854047775,669900,154075,6.020326087,
2635,2014,955.2359619,16.23643255,700710,218125,12.03630435,16.98
